p1,p2,score
YBR194W,YER029C,0.53606884449893
YJL187C,YPL124W,0.852119274942154
YLR448W,YNL317W,0.54847104749512
YDR439W,YPL112C,0.53606884449893
YBL102W,YBR164C,0.714859437751004
YDR477W,YOL066C,0.525804493017608
YER100W,YER125W,0.739097190149932
YGR080W,YKL007W,0.525804493017608
YOR272W,YPR016C,0.963156708497749
YDR394W,YNL290W,0.852119274942154
YOR127W,YPL256C,0.976675750098252
YJR022W,YNR053C,0.828678278612497
YDL028C,YJR053W,0.952862168051605
YLR399C,YML041C,0.923746463165775
YHL033C,YNL178W,0.836115707810694
YCL059C,YMR128W,0.990468531761082
YAL027W,YPL022W,0.999960030740893
YDL098C,YHR165C,0.957795592557016
YBL105C,YCL027W,0.786182747552049
YDR254W,YIR010W,0.784767882955442
YMR292W,YPL246C,0.703072689507346
YKL117W,YOR056C,0.742881415725322
YGR218W,YOL149W,0.67234615284868
YLL028W,YPL058C,0.703072689507346
YGL030W,YOR117W,0.53606884449893
YBL085W,YBR102C,0.576965202814132
YEL055C,YLL039C,0.53606884449893
YNL002C,YNL110C,0.99655625784908
YAL007C,YER110C,0.824118856508057
YGL103W,YLR287C-A,0.889168054734813
YMR095C,YNL333W,0.97518469666279906
YNL132W,YNL308C,0.54847104749512
YLR006C,YNR031C,0.999990897016091
YJL157C,YOR212W,0.949062643030911
YDR488C,YPL174C,0.943533655626171
YMR049C,YPL211W,0.921706009057121
YBL064C,YBR122C,0.53606884449893
YDR289C,YGL246C,0.790521651322224
YDL007W,YPR108W,0.994846713636384
YLR340W,YPL211W,0.54847104749512
YDL160C,YOL149W,0.98695708382331
YLL036C,YLR117C,0.999999999697347
YCL059C,YJL190C,0.63429211000704
YDR365C,YNL178W,0.53606884449893
YJR132W,YLR113W,0.714859437751004
YAR027W,YJR040W,0.501079807013215
YHR089C,YPR080W,0.525804493017608
YDL229W,YML124C,0.890653121584812
YMR033W,YPL016W,0.957795592557016
YDR064W,YOR312C,0.889168054734813
YLL039C,YMR275C,0.784767882955442
YDL116W,YDR335W,0.628571428571429
YDR099W,YDR448W,0.764303653422268
YLR397C,YPR017C,0.721967550772767
YLR275W,YOR308C,0.980420060487739
YFL039C,YGR240C,0.660028449502134
YBR181C,YDR471W,0.859922722080967
YAL005C,YPR010C,0.824118856508057
YGL123W,YLR448W,0.54847104749512
YAL035W,YGL158W,0.753242918792004
YBL002W,YGR270W,0.669323604690042
YDR226W,YPL031C,0.721967550772767
YER151C,YKL054C,0.956555842181277
YCR028C-A,YPR072W,0.703072689507346
YBL028C,YFL002C,0.53606884449893
YJR056C,YNL189W,0.67234615284868
YDL111C,YJR022W,0.894564096618049
YER087C-B,YPL094C,0.991612940780449
YDL020C,YKL145W,0.660028449502134
YGR254W,YKR038C,0.584984984984985
YDR011W,YDR501W,0.703072689507346
YGR152C,YPL161C,0.786182747552049
YBR188C,YER013W,0.53606884449893
YGR165W,YJR101W,0.921706009057121
YLR009W,YLR074C,0.852119274942154
YLL008W,YNL182C,0.54847104749512
YNL020C,YNL272C,0.525804493017608
YBR198C,YGL137W,0.764303653422268
YLL039C,YOL090W,0.53606884449893
YDR076W,YJL092W,0.525804493017608
YML065W,YPR029C,0.53606884449893
YDL100C,YGL020C,0.999992738176309
YCR086W,YOR098C,0.605663741840526
YBR036C,YHL003C,0.501079807013215
YIL093C,YNL255C,0.53606884449893
YLR058C,YNL290W,0.852119274942154
YJR063W,YOR224C,0.998565579515044
YKL207W,YML048W,0.53606884449893
YDR204W,YML065W,0.53606884449893
YDR002W,YOR117W,0.53606884449893
YEL002C,YER026C,0.644280204587298
YGL135W,YHR203C,0.859922722080967
YDR443C,YOL135C,0.992577040558528
YDL055C,YHL030W,0.53606884449893
YJL191W,YNL255C,0.659447567015627
YDR397C,YER148W,0.996924449712668
YDL202W,YFL002C,0.53606884449893
YGR059W,YLR314C,0.660028449502134
YFR037C,YMR072W,0.859922722080967
YDR309C,YNL298W,0.846340558019861
YBR247C,YMR229C,0.832002620755503
YGL081W,YGR155W,0.721967550772767
YFL002C,YLR075W,0.53606884449893
YER112W,YIL029C,0.684036878315825
YML010W,YPR041W,0.824118856508057
YBR017C,YNL035C,0.96413562454055
YJL151C,YLR144C,0.703072689507346
YBR200W,YCL005W,0.576965202814132
YBL072C,YHR141C,0.54847104749512
YIR010W,YLR096W,0.53606884449893
YFL022C,YMR059W,0.852119274942154
YIR010W,YMR302C,0.53606884449893
YHR061C,YML109W,0.846340558019861
YLR100W,YMR202W,0.884419344852077
YBR247C,YMR128W,0.995861056662064
YNR003C,YOR207C,0.998402340724676
YFR028C,YGR040W,0.796256143327102
