From	To
P31697	eco:b4316
Q06587	hsa:6015
P57041	nma:NMA1642
Q3SYX9	bta:614345
P0AG86	ecj:JW3584
P0AG86	eco:b3609
Q08209	hsa:5530
Q6R0H1	ath:AT1G01060
Q7KT06	dme:Dmel_CG14396
O60885	hsa:23476
Q96B97	hsa:30011
P20434	sce:YBR154C
H2L8A6	ola:101173075
Q9BUB5	hsa:8569
Q9XJR3	vg:1262026
O94907	hsa:22943
Q9F1R6	tel:tsr2013
P62491	hsa:8766
Q5U2T9	rno:361810
P23634	hsa:493
Q16594	hsa:6880
Q01593	ath:AT3G24650
P70371	mmu:21749
P10745	hsa:5949
O95777	hsa:51691
P01730	hsa:920
Q16611	hsa:578
O24456	ath:AT1G18080
P49841	hsa:2932
O75475	hsa:11168
Q8X5E5	ecs:ECs_1639
O35984	mmu:18515
P10827	hsa:7067
O33348	mtu:Rv2866
P20226	hsa:6908
P11076	sce:YDL192W
Q16526	hsa:1407
P56597	hsa:8382
Q7L7X3	hsa:57551
Q13976	hsa:5592
P41805	sce:YLR075W
Q16384	hsa:6756
Q8TEW0	hsa:56288
P51150	mmu:19349
Q61768	mmu:16573
P01374	hsa:4049
Q9H9D4	hsa:79797
O55055	mmu:13434
O15111	hsa:1147
P27320	syn:ssl0020
Q15024	hsa:23016
Q96EK5	hsa:26128
Q64008	mmu:19376
Q99613	hsa:8663
B3LDA6	pkn:PKNH_1466100
P36105	sce:YKL006W
Q01094	hsa:1869
Q9HAV0	hsa:59345
B3NZ75	der:6551862
O43557	hsa:8740
O95271	hsa:8658
Q01855	sce:YOL040C
O04291	ath:AT2G34710
Q3JP15	bpm:BURPS1710b_3317
P04981	bpe:BP3786
Q6B856	bta:281555
P59190	hsa:376267
P15172	hsa:4654
Q7D9D4	mtc:MT0759
Q7D9D4	mtu:Rv0735
P61010	cfa:403953
P0A431	tel:tll0444
Q02763	hsa:7010
Q96RP3	hsa:90226
P02675	hsa:2244
Q99497	hsa:11315
Q9UBZ9	hsa:51455
Q6Q7Y5	rno:303634
P13264	rno:24398
Q9Y4K3	hsa:7189
P62821	mmu:19324
B8YB60	sshi:J5U23_00029
P04141	hsa:1437
Q96AD5	hsa:57104
P13595	mmu:17967
P06396	hsa:2934
P0A9H1	ecj:JW3040
P0A9H1	eco:b3068
P68433	mmu:319152
P68433	mmu:319153
P68433	mmu:360198
P68433	mmu:97908
P42768	hsa:7454
Q76RF1	vg:4961494
Q9UJW0	hsa:51164
P01236	hsa:5617
Q9UK45	hsa:51690
Q8WXF8	hsa:162989
P40477	sce:YIL115C
P10145	hsa:3576
P31785	hsa:3561
O35657	mmu:18010
Q8BUN5	mmu:17127
P04202	mmu:21803
Q96B26	hsa:11340
Q92786	hsa:5629
P0CX37	sce:YBR181C
P0CX37	sce:YPL090C
B8YB62	sshi:J5U23_03144
Q8WXW3	hsa:10464
P27037	hsa:92
P30657	sce:YFR050C
P09919	hsa:1440
P10824	rno:25686
C1AQ26	mbt:JTY_2121
P60709	hsa:60
P97428	mmu:19734
P0ADV3	ece:Z4563
P0ADV3	ecs:ECs_4079
P64767	mtc:MT0975
P64767	mtu:Rv0948c
Q62108	mmu:13385
P0A425	tel:tsr2273
Q9H204	hsa:80306
P0CX35	sce:YHR203C
P0CX35	sce:YJR145C
Q13586	hsa:6786
Q92956	hsa:8764
P02925	ecj:JW3730
P02925	eco:b3751
Q504U8	hsa:1956
P01994	gga:416652
P21183	mmu:16192
Q62219	mmu:21804
O54968	rno:83619
P43146	hsa:1630
Q96FW1	hsa:55611
P61157	bta:281597
P01903	hsa:3122
P62136	hsa:5499
Q93WK5	ath:AT5G02810
P50148	hsa:2776
Q8N5F7	hsa:79576
P32851	rno:116470
Q15050	hsa:23212
O15492	hsa:6004
P01012	gga:396058
Q13042	hsa:8881
Q93SX1	ana:alr3422
Q9FK13	ath:AT5G53280
Q5RDG4	pon:100174305
P21279	mmu:14682
Q5RCA7	pon:100174368
A5U832	mra:MRA_3398
Q9WTX6	mmu:26965
P26151	mmu:14129
