Name	Accession	Name	Accession	Score
PDGFRB	IPI00015902	YES1	IPI00013981	112.20349609375
VPS4A	IPI00411356	VPS24	IPI00100673	112.112998046875
F9	IPI00296176	PROC	IPI00021817	111.375751953125
F9	IPI00296176	C6	IPI00009920	111.375751953125
LYL1	IPI00218258	TAL1	IPI00376954	111.23724609375
PSMA5	IPI00291922	PSMB3	IPI00028004	111.23724609375
XPO1	IPI00298961	CSPG6	IPI00219420	111.11875
PABPC1	IPI00008524	EEF1A1	IPI00025447	111.11875
PABPC1	IPI00008524	EEF1B2	IPI00178440	110.94025390625
EGFR	IPI00018274	STAT1	IPI00030781	110.701748046875
EGFR	IPI00018274	STAT5B	IPI00103415	110.701748046875
ERBB2	IPI00300384	STAT1	IPI00030781	110.701748046875
INSR	IPI00025803	STAT1	IPI00030781	110.701748046875
IGF1R	IPI00027232	STAT1	IPI00030781	110.701748046875
KIT	IPI00022296	STAT1	IPI00030781	110.701748046875
PDGFRA	IPI00027721	STAT1	IPI00030781	110.701748046875
FLT1	IPI00018335	STAT1	IPI00030781	110.701748046875
STAT1	IPI00030781	MST1R	IPI00030273	110.701748046875
WASL	IPI00011676	TEC	IPI00000878	110.390498046875
TAGLN2	IPI00550363	CALM2	IPI00075248	110.390498046875
FXR1	IPI00016249	FXR2	IPI00016250	110.390498046875
SPINK1	IPI00020687	CPB1	IPI00009826	110.248251953125
APOA1	IPI00021841	APOH	IPI00298828	110.248251953125
ORM1	IPI00022429	PON1	IPI00555746	110.248251953125
SOCS3	IPI00297349	LYN	IPI00298625	109.659248046875
GRAP2	IPI00026928	LYN	IPI00298625	109.659248046875
ABL1	IPI00216969	VAV1	IPI00011696	109.659248046875
ABL1	IPI00216969	NCK1	IPI00028065	109.659248046875
ABL1	IPI00216969	CSK	IPI00013212	109.659248046875
ABL1	IPI00216969	STAT6	IPI00030782	109.659248046875
ABL1	IPI00216969	BTK	IPI00029132	109.659248046875
ABL1	IPI00216969	BLNK	IPI00002434	109.659248046875
MMP1	IPI00008561	CSPG2	IPI00009802	109.659248046875
FGR	IPI00016871	BLNK	IPI00002434	109.659248046875
FGR	IPI00016871	LCK	IPI00394952	109.659248046875
TCF3	IPI00013929	ID2	IPI00294210	109.659248046875
TCF3	IPI00013929	ID3	IPI00219112	109.659248046875
CBL	IPI00027269	TESK1	IPI00018182	109.659248046875
TXK	IPI00000879	LYN	IPI00298625	109.659248046875
INSL3	IPI00002773	SRC	IPI00641230	109.659248046875
YES1	IPI00013981	SRC	IPI00641230	109.659248046875
PRKDC	IPI00296337	RAN	IPI00643041	109.587998046875
PCNA	IPI00021700	MCM7	IPI00299904	109.50150390625
CCNA2	IPI00022865	CCNB1	IPI00294696	109.50150390625
STXBP2	IPI00019971	STX1A	IPI00003370	109.17650390625
C4BPA	IPI00021727	HPN	IPI00395826	109.15400390625
CD3D	IPI00022934	LCK	IPI00394952	109.15400390625
CD3E	IPI00012923	LCK	IPI00394952	109.15400390625
HCK	IPI00029769	ICAM3	IPI00031620	109.15400390625
IL2RB	IPI00027510	SH2D2A	IPI00099806	109.15400390625
VAV1	IPI00011696	IL10RA	IPI00014417	109.15400390625
STAT6	IPI00030782	IL10RA	IPI00014417	109.15400390625
HCK	IPI00029769	CAP1	IPI00008274	108.773251953125
F9	IPI00296176	KNG1	IPI00215894	108.76150390625
F10	IPI00019576	KNG1	IPI00215894	108.76150390625
PIK3R2	IPI00011736	LYN	IPI00298625	108.429501953125
PIK3R2	IPI00011736	JAK1	IPI00011633	108.429501953125
ABL1	IPI00216969	CBLB	IPI00292856	107.80849609375
POLR2H	IPI00003309	C1orf82	IPI00293375	107.774248046875
JAK2	IPI00031016	YES1	IPI00013981	107.50849609375
STAT5A	IPI00030783	BMX	IPI00514142	107.50849609375
STAT5A	IPI00030783	PTK6	IPI00015927	107.50849609375
TEC	IPI00000878	JAK1	IPI00011633	106.84
HIST1H2BO	IPI00152785	HIST1H2BD	IPI00152906	106.757001953125
PIK3R2	IPI00011736	ITK	IPI00004566	106.65900390625
PIK3R2	IPI00011736	PTK2B	IPI00029702	106.65900390625
APS	IPI00155706	ITK	IPI00004566	106.65900390625
APS	IPI00155706	PTK2B	IPI00029702	106.65900390625
HAND1	IPI00014052	TAL2	IPI00002906	106.65900390625
HCK	IPI00029769	PTK2B	IPI00029702	106.65900390625
FGR	IPI00016871	PTK2B	IPI00029702	106.65900390625
FGR	IPI00016871	STAT3	IPI00298887	106.65900390625
MYF5	IPI00008389	TAL2	IPI00002906	106.65900390625
VAV1	IPI00011696	ITK	IPI00004566	106.65900390625
VAV1	IPI00011696	PTK2B	IPI00029702	106.65900390625
FER	IPI00029263	GRB2	IPI00021327	106.65900390625
FER	IPI00029263	PTK2B	IPI00029702	106.65900390625
RASA1	IPI00026262	TYK2	IPI00022353	106.65900390625
RASA1	IPI00026262	CSK	IPI00013212	106.65900390625
RASA1	IPI00026262	ZAP70	IPI00329789	106.65900390625
RASA1	IPI00026262	SYK	IPI00018597	106.65900390625
RASA1	IPI00026262	BTK	IPI00029132	106.65900390625
RASA1	IPI00026262	PTK2B	IPI00029702	106.65900390625
RASA1	IPI00026262	JAK1	IPI00011633	106.65900390625
CSK	IPI00013212	ITK	IPI00004566	106.65900390625
CSK	IPI00013212	PTK2B	IPI00029702	106.65900390625
CSK	IPI00013212	STAT3	IPI00298887	106.65900390625
STAT6	IPI00030782	PTK2B	IPI00029702	106.65900390625
STAT5A	IPI00030783	ITK	IPI00004566	106.65900390625
TEC	IPI00000878	ITK	IPI00004566	106.65900390625
TXK	IPI00000879	GRB2	IPI00021327	106.65900390625
TXK	IPI00000879	ITK	IPI00004566	106.65900390625
CRKL	IPI00004839	ITK	IPI00004566	106.65900390625
GRB2	IPI00021327	PTK2B	IPI00029702	106.65900390625
BTK	IPI00029132	ITK	IPI00004566	106.65900390625
BTK	IPI00029132	PTK2B	IPI00029702	106.65900390625
ITK	IPI00004566	PTK2B	IPI00029702	106.65900390625
PTK2B	IPI00029702	STAT3	IPI00298887	106.65900390625
PTK2B	IPI00029702	LYN	IPI00298625	106.65900390625
PTK2B	IPI00029702	JAK1	IPI00011633	106.65900390625
TAL2	IPI00002906	TAL1	IPI00376954	106.65900390625
STAT3	IPI00298887	LYN	IPI00298625	106.65900390625
EPHB4	IPI00289342	EFNB1	IPI00024307	106.576748046875
VAV1	IPI00011696	FLT1	IPI00018335	106.47125
POLR2D	IPI00007283	POLR2A	IPI00031627	106.31775390625
POLR2D	IPI00007283	POLR2B	IPI00027808	106.31775390625
PDHA1	IPI00306301	DLAT	IPI00604707	106.31775390625
CSNK2A2	IPI00020602	CGI-48	IPI00000733	106.31775390625
TBP	IPI00022831	POLR2A	IPI00031627	106.31775390625
GTF2A2	IPI00004353	GTF2B	IPI00022820	106.31775390625
DLAT	IPI00604707	PDHB	IPI00549885	106.31775390625
SYNCRIP	IPI00018140	EIF4G2	IPI00015952	105.87625
RAF1	IPI00021786	RPS6KA1	IPI00017305	105.87625
PCNA	IPI00021700	BRCA1	IPI00218982	105.87625
MCM4	IPI00018349	ORC1L	IPI00013215	105.87625
WAS	IPI00001545	SYK	IPI00018597	105.87625
MCM2	IPI00184330	BLM	IPI00004859	105.87625
MCM2	IPI00184330	WRN	IPI00029107	105.87625
ORC1L	IPI00013215	CCNB1	IPI00294696	105.87625
KIAA0788	IPI00420014	LSM2	IPI00032460	105.797998046875
RPA2	IPI00013939	EIF2S3	IPI00297982	105.797998046875
EIF2S2	IPI00021728	EIF2B5	IPI00011898	105.797998046875
ACTG1	IPI00021439	CFL1	IPI00012011	105.797998046875
POLR1C	IPI00005179	POLR2H	IPI00003309	105.69375
JAK2	IPI00031016	RAF1	IPI00021786	105.627998046875
JAK2	IPI00031016	DOK1	IPI00015287	105.627998046875
MBD3	IPI00439194	MTA1	IPI00012773	105.627998046875
RAF1	IPI00021786	STAT5A	IPI00030783	105.627998046875
AKT1	IPI00012866	MAP2K2	IPI00003783	105.627998046875
BRCA1	IPI00218982	CSPG6	IPI00219420	105.627998046875
ZAP70	IPI00329789	PRKCQ	IPI00029196	105.627998046875
HBZ	IPI00217473	HBZ	IPI00410714	105.410751953125
CRYAA	IPI00021062	CRYBB2	IPI00218748	105.410751953125
CRYAB	IPI00021369	CRYGC	IPI00220282	105.410751953125
PRSS1	IPI00011694	CTRC	IPI00018553	105.21224609375
CPA2	IPI00296930	CTRC	IPI00018553	105.21224609375
GNA14	IPI00000695	FSHR	IPI00303575	105.05375
GNAT1	IPI00218488	FSHR	IPI00303575	105.05375
GNAT2	IPI00217269	FSHR	IPI00303575	105.05375
NCK2	IPI00306531	ERBB3	IPI00298285	104.85875
ERBB2	IPI00300384	RASA1	IPI00026262	104.85875
RET	IPI00013983	GRB2	IPI00021327	104.85875
VAV1	IPI00011696	ERBB3	IPI00298285	104.85875
NCK1	IPI00028065	ERBB3	IPI00298285	104.85875
FER	IPI00029263	ERBB3	IPI00298285	104.85875
FLT1	IPI00018335	GRB2	IPI00021327	104.85875
RASA1	IPI00026262	ERBB3	IPI00298285	104.85875
ERBB3	IPI00298285	STAT5A	IPI00030783	104.85875
ERBB3	IPI00298285	GRB2	IPI00021327	104.85875
KDR	IPI00021396	STAT3	IPI00298887	104.85875
CSK	IPI00013212	STAT1	IPI00030781	104.85875
ITK	IPI00004566	CBLB	IPI00292856	104.85875
CBLB	IPI00292856	PTK2B	IPI00029702	104.85875
ENO2	IPI00216171	PRKCE	IPI00024539	104.721748046875
GNAI1	IPI00337415	GNAI2	IPI00465121	104.721748046875
TEC	IPI00000878	SYK	IPI00018597	104.36599609375
ABL1	IPI00216969	IGF1R	IPI00027232	102.98400390625
CASP2	IPI00291570	FADD	IPI00011919	102.98400390625
STAT2	IPI00004312	JAK1	IPI00011633	102.98400390625
HLA-B	IPI00004657	CD1A	IPI00025382	102.655
HLA-A	IPI00647634	CD1A	IPI00025382	102.655
CD1A	IPI00025382	HLA-C	IPI00642409	102.655
CD1A	IPI00025382	HLA-G	IPI00015988	102.655
PRSS1	IPI00011694	SERPINF2	IPI00029863	102.655
ZAP70	IPI00329789	PTK6	IPI00015927	102.655
ZAP70	IPI00329789	BLNK	IPI00002434	102.655
ID2	IPI00294210	ID3	IPI00219112	102.655
STX11	IPI00026128	STXBP2	IPI00019971	102.62099609375
STX3A	IPI00395768	STX1A	IPI00003370	102.587001953125
GNA14	IPI00000695	GRK5	IPI00414058	102.507998046875
H2AFX	IPI00219037	HIST2H2BE	IPI00003935	102.296748046875
PRKCA	IPI00385449	GABRB1	IPI00299122	102.215
CARD15	IPI00005559	MYD88	IPI00001062	101.96025390625
KDR	IPI00021396	STAT5B	IPI00103415	101.95974609375
YWHAB	IPI00216318	PARD6B	IPI00019025	101.87375
WASPIP	IPI00552369	TYK2	IPI00022353	101.72875
PSTPIP1	IPI00022606	HCK	IPI00029769	101.72875
NBN	IPI00299463	ATR	IPI00412298	101.72875
HLA-B	IPI00004657	LILRB1	IPI00385703	101.72875
APOH	IPI00298828	SERPING1	IPI00291866	101.72875
APOH	IPI00298828	SERPINA10	IPI00007199	101.72875
HCK	IPI00029769	VASP	IPI00301058	101.72875
NME1	IPI00012048	NME2	IPI00026260	101.72875
SH3BP2	IPI00219071	SLA	IPI00009499	101.72875
LCP2	IPI00297169	CBLB	IPI00292856	101.72875
SOCS3	IPI00297349	INSR	IPI00025803	101.455498046875
ABL1	IPI00216969	EPHB2	IPI00021275	101.455498046875
ABL1	IPI00216969	EPHB1	IPI00008315	101.455498046875
INSR	IPI00025803	SRC	IPI00641230	101.455498046875
PDGFRA	IPI00027721	INSL3	IPI00002773	101.455498046875
CBL	IPI00027269	LCK	IPI00394952	101.455498046875
F12	IPI00019581	LCAT	IPI00022331	101.41125
VAMP2	IPI00553138	SCFD1	IPI00165261	101.37275390625
PSMD12	IPI00185374	PSMD3	IPI00011603	100.95724609375
PSMD12	IPI00185374	PSMD13	IPI00549672	100.95724609375
COPZ1	IPI00032851	COPG	IPI00001890	100.95724609375
PES1	IPI00003768	NAP1L1	IPI00023860	100.395751953125
COPB	IPI00556322	COPG	IPI00001890	100.395751953125
F10	IPI00019576	PROZ	IPI00027843	100.38349609375
EIF2S1	IPI00219678	EIF2B4	IPI00220232	100.35099609375
ERCC5	IPI00477535	GTF2H1	IPI00030380	100.35099609375
EIF2B5	IPI00011898	EIF2B4	IPI00220232	100.35099609375
CSNK2B	IPI00010865	HDAC1	IPI00013774	100.22650390625
MAPK1	IPI00003479	DUSP1	IPI00003928	100.15275390625
CCNB2	IPI00028266	PRKCH	IPI00184572	99.937998046875
CARS	IPI00556365	YARS	IPI00007074	99.845
EIF3S9	IPI00396370	KPNB1	IPI00001639	99.845
SUMO1	IPI00303105	SAE1	IPI00033130	99.18775390625
VTI1A	IPI00059472	VPS45A	IPI00090327	99.18775390625
DLL1	IPI00413521	NOTCH2	IPI00297655	98.70125
HCN1	IPI00031506	HCN2	IPI00218946	98.70125
GNA14	IPI00000695	CHRM1	IPI00298980	98.70125
FYN	IPI00219012	SHC3	IPI00409679	98.70125
GNAI3	IPI00220578	CHRM1	IPI00298980	98.70125
GNAO1	IPI00220281	LHCGR	IPI00299615	98.70125
GNAO1	IPI00220281	SSTR1	IPI00027804	98.70125
CHRM1	IPI00298980	GNA11	IPI00305551	98.70125
CHRM1	IPI00298980	GNAI1	IPI00337415	98.70125
MAPK3	IPI00018195	DUSP9	IPI00294486	98.70125
WNT3	IPI00011023	SFRP5	IPI00017558	98.70125
WNT3A	IPI00654606	SFRP5	IPI00017558	98.70125
NALP6	IPI00168279	BIRC1	IPI00011547	98.70125
NALP11	IPI00168280	BIRC1	IPI00011547	98.70125
NALP12	IPI00306878	BIRC1	IPI00011547	98.70125
NALP5	IPI00168282	BIRC1	IPI00011547	98.70125
BIRC1	IPI00011547	NALP14	IPI00219561	98.70125
BIRC1	IPI00011547	NALP13	IPI00249591	98.70125
BIRC1	IPI00011547	NALP10	IPI00328970	98.70125
BIRC1	IPI00011547	NALP4	IPI00151977	98.70125
GDI2	IPI00031461	RAB8A	IPI00028481	98.618251953125
ID1	IPI00012718	ID3	IPI00219112	98.482001953125
MCM3	IPI00013214	DDX46	IPI00329791	98.39375
FGR	IPI00016871	FRK	IPI00000885	98.23625
CSK	IPI00013212	TEC	IPI00000878	98.23625
TEC	IPI00000878	BTK	IPI00029132	98.23625
HDAC3	IPI00006187	HDAC1	IPI00013774	98.1725
WASPIP	IPI00552369	MSN	IPI00219365	98.1725
TP53	IPI00025087	SSRP1	IPI00005154	98.1725
MSN	IPI00219365	WAS	IPI00001545	98.1725
PRPF4B	IPI00013721	ATR	IPI00412298	98.1725
ITGB2	IPI00291792	MSN	IPI00219365	97.78375
ITGB2	IPI00291792	LYN	IPI00298625	97.78375
ADPRT	IPI00449049	LIG1	IPI00219841	97.660751953125
PDGFRA	IPI00027721	FLT1	IPI00018335	97.27
GGCX	IPI00305698	HGFAC	IPI00029193	97.15150390625
SFPQ	IPI00010740	FXR1	IPI00016249	96.724501953125
NCK2	IPI00306531	ERBB2	IPI00300384	96.578251953125
CBL	IPI00027269	SYK	IPI00018597	96.578251953125
RGS19	IPI00028108	GNA12	IPI00328744	96.578251953125
COPS4	IPI00171844	hfl-B5	IPI00102069	95.61625
PRKAA2	IPI00307755	PRKAB1	IPI00220409	95.37625
WASPIP	IPI00552369	BTK	IPI00029132	95.202998046875
FGB	IPI00298497	SERPINF2	IPI00029863	95.202998046875
SERPINE1	IPI00007118	PCOLCE	IPI00299738	95.202998046875
RB1	IPI00302829	MCM4	IPI00018349	95.202998046875
CSF1R	IPI00011218	ICAM3	IPI00031620	95.202998046875
CSF1R	IPI00011218	CSF2RB	IPI00465234	95.202998046875
KPNA6	IPI00155940	NUP54	IPI00172580	95.0375
ACTA1	IPI00021428	CFL2	IPI00413344	94.58775390625
SNF8	IPI00101524	CHMP4A	IPI00023068	94.34775390625
CCNB2	IPI00028266	CCNA2	IPI00022865	94.2525
NCK1	IPI00028065	WIRE	IPI00435947	93.94900390625
KNG1	IPI00215894	SERPINF2	IPI00029863	93.835498046875
NRAS	IPI00000005	PRKCI	IPI00016639	93.730751953125
CSDA	IPI00031801	FXR1	IPI00016249	93.730751953125
CSDA	IPI00031801	PCBP1	IPI00016610	93.730751953125
EPHB2	IPI00021275	EPHB3	IPI00289329	93.730751953125
AKT1	IPI00012866	PRKCI	IPI00016639	93.730751953125
TEC	IPI00000878	PRKCE	IPI00024539	93.730751953125
EPHB3	IPI00289329	EPHB4	IPI00289342	93.730751953125
BMPR1B	IPI00010862	BMP8B	IPI00300779	93.522001953125
BMP5	IPI00024886	TGFBR1	IPI00005733	93.522001953125
STX11	IPI00026128	STX1A	IPI00003370	92.47599609375
STX4A	IPI00029730	STX1A	IPI00003370	92.47599609375
CHMP2A	IPI00004416	CHMP1B	IPI00156984	92.380751953125
HLA-B	IPI00004657	CD1D	IPI00013435	92.380751953125
HLA-B	IPI00004657	FCGRT	IPI00026646	92.380751953125
GNAI1	IPI00337415	EDG2	IPI00022525	92.380751953125
EPHA2	IPI00021267	SYK	IPI00018597	92.25650390625
BTK	IPI00029132	CBLB	IPI00292856	92.25650390625
KIT	IPI00022296	LCP2	IPI00297169	92.192998046875
HCK	IPI00029769	TEC	IPI00000878	91.96150390625
F8	IPI00017603	PROC	IPI00021817	91.72875
GNA14	IPI00000695	GNAQ	IPI00288947	91.288251953125
CST3	IPI00032293	CTSZ	IPI00002745	91.26375
CTSC	IPI00022810	CST7	IPI00216569	91.26375
POLR2D	IPI00007283	POLR2E	IPI00291093	91.185
POLR2D	IPI00007283	POLR2F	IPI00015119	91.185
WASPIP	IPI00552369	DOCK2	IPI00022449	91.132001953125
NCOR1	IPI00289344	HDAC1	IPI00013774	91.132001953125
SNRPB2	IPI00029267	EIF4G2	IPI00015952	91.132001953125
PABPC1	IPI00008524	YBX1	IPI00031812	91.132001953125
PABPC1	IPI00008524	BAZ2A	IPI00296388	91.132001953125
TYK2	IPI00022353	DOK1	IPI00015287	91.132001953125
CSTF1	IPI00011528	CPSF1	IPI00026219	91.132001953125
GNA14	IPI00000695	CHRM5	IPI00031710	90.907001953125
GNA14	IPI00000695	HTR2A	IPI00002185	90.907001953125
F2	IPI00019568	SERPINB4	IPI00010303	90.907001953125
F9	IPI00296176	SERPINB4	IPI00010303	90.907001953125
F10	IPI00019576	SERPINB4	IPI00010303	90.907001953125
CHRM5	IPI00031710	GNA11	IPI00305551	90.907001953125
GNAT1	IPI00218488	LHCGR	IPI00299615	90.907001953125
GNAZ	IPI00328128	SSTR1	IPI00027804	90.907001953125
GNAT2	IPI00217269	SSTR2	IPI00027807	90.907001953125
HTR2A	IPI00002185	GNA11	IPI00305551	90.907001953125
GNA11	IPI00305551	SSTR2	IPI00027807	90.907001953125
SSTR2	IPI00027807	GNAI1	IPI00337415	90.907001953125
JAG1	IPI00099650	NOTCH2	IPI00297655	90.907001953125
HCN3	IPI00163724	HCN2	IPI00218946	90.907001953125
NCK1	IPI00028065	KDR	IPI00021396	90.887001953125
FLT1	IPI00018335	YES1	IPI00013981	90.887001953125
FGFR4	IPI00304578	STAT5A	IPI00030783	90.887001953125
CBL	IPI00027269	TYK2	IPI00022353	90.887001953125
KDR	IPI00021396	STAT5A	IPI00030783	90.887001953125
KDR	IPI00021396	CRKL	IPI00004839	90.887001953125
PDGFRB	IPI00015902	SLA	IPI00009499	90.726748046875
PDGFRA	IPI00027721	BTK	IPI00029132	90.726748046875
PDGFRA	IPI00027721	LCK	IPI00394952	90.726748046875
ACTA1	IPI00021428	CFL1	IPI00012011	90.087998046875
CHMP2A	IPI00004416	VPS24	IPI00100673	89.959501953125
F2	IPI00019568	FGB	IPI00298497	89.926748046875
F9	IPI00296176	FGA	IPI00021885	89.926748046875
SOCS3	IPI00297349	PDGFRB	IPI00015902	89.397001953125
ABL1	IPI00216969	CBL	IPI00027269	89.397001953125
INSR	IPI00025803	BLNK	IPI00002434	89.397001953125
FLT1	IPI00018335	SH2D2A	IPI00099806	89.397001953125
CBL	IPI00027269	BMX	IPI00514142	89.397001953125
KDR	IPI00021396	LCK	IPI00394952	89.397001953125
KDR	IPI00021396	SLA	IPI00009499	89.397001953125
KDR	IPI00021396	SRC	IPI00641230	89.397001953125
ABL1	IPI00216969	EGFR	IPI00018274	89.245498046875
ABL1	IPI00216969	RET	IPI00013983	89.245498046875
ABL1	IPI00216969	AXL	IPI00296992	89.245498046875
EGFR	IPI00018274	BMX	IPI00514142	89.245498046875
EGFR	IPI00018274	INSL3	IPI00002773	89.245498046875
EGFR	IPI00018274	BLNK	IPI00002434	89.245498046875
EGFR	IPI00018274	LCK	IPI00394952	89.245498046875
EGFR	IPI00018274	LYN	IPI00298625	89.245498046875
CSF1R	IPI00011218	RASA1	IPI00026262	89.245498046875
RET	IPI00013983	FGR	IPI00016871	89.245498046875
RET	IPI00013983	BMX	IPI00514142	89.245498046875
MET	IPI00029273	GRB2	IPI00021327	89.245498046875
GNAO1	IPI00220281	RGS4	IPI00028112	89.245498046875
KIT	IPI00022296	RASA1	IPI00026262	89.245498046875
FGFR1	IPI00005142	ZAP70	IPI00329789	89.245498046875
FGFR1	IPI00005142	SYK	IPI00018597	89.245498046875
VAV1	IPI00011696	AXL	IPI00296992	89.245498046875
FGFR3	IPI00027174	SYK	IPI00018597	89.245498046875
FGFR3	IPI00027174	STAT3	IPI00298887	89.245498046875
AXL	IPI00296992	CSK	IPI00013212	89.245498046875
AXL	IPI00296992	SYK	IPI00018597	89.245498046875
AXL	IPI00296992	GRB2	IPI00021327	89.245498046875
AXL	IPI00296992	ITK	IPI00004566	89.245498046875
AXL	IPI00296992	SH2D2A	IPI00099806	89.245498046875
SERPINF1	IPI00006114	TMPRSS9	IPI00337305	89.245498046875
STAT1	IPI00030781	ITK	IPI00004566	89.245498046875
EPHB3	IPI00289329	LNK	IPI00010821	89.245498046875
TEK	IPI00412829	ITK	IPI00004566	89.245498046875
TEK	IPI00412829	LNK	IPI00010821	89.245498046875
TEK	IPI00412829	STAT3	IPI00298887	89.245498046875
ITK	IPI00004566	LCP2	IPI00297169	89.245498046875
PTK2B	IPI00029702	CBLC	IPI00008459	89.245498046875
APS	IPI00155706	ABL1	IPI00216969	88.82599609375
APS	IPI00155706	BMX	IPI00514142	88.82599609375
APS	IPI00155706	LCK	IPI00394952	88.82599609375
SOCS3	IPI00297349	FER	IPI00029263	88.82599609375
SOCS3	IPI00297349	JAK1	IPI00011633	88.82599609375
ABL1	IPI00216969	FGR	IPI00016871	88.82599609375
ABL1	IPI00216969	SH2D2A	IPI00099806	88.82599609375
ABL1	IPI00216969	LCK	IPI00394952	88.82599609375
ABL1	IPI00216969	LYN	IPI00298625	88.82599609375
NGFR	IPI00027436	FADD	IPI00011919	88.82599609375
HCK	IPI00029769	TXK	IPI00000879	88.82599609375
HCK	IPI00029769	BLNK	IPI00002434	88.82599609375
HCK	IPI00029769	LCK	IPI00394952	88.82599609375
FER	IPI00029263	INSL3	IPI00002773	88.82599609375
TEC	IPI00000878	BLNK	IPI00002434	88.82599609375
TXK	IPI00000879	RIN1	IPI00014454	88.82599609375
SYK	IPI00018597	PTK6	IPI00015927	88.82599609375
INSL3	IPI00002773	SH2D2A	IPI00099806	88.82599609375
BTK	IPI00029132	LCK	IPI00394952	88.82599609375
BLNK	IPI00002434	LCK	IPI00394952	88.82599609375
JAK1	IPI00011633	SRC	IPI00641230	88.82599609375
SMAD3	IPI00024305	GMEB2	IPI00159770	88.54525390625
XPO1	IPI00298961	PSMC2	IPI00021435	88.28599609375
KIAA0788	IPI00420014	SNRP70	IPI00290204	88.28599609375
KIAA0788	IPI00420014	PABPC1	IPI00008524	88.28599609375
EPS15	IPI00292134	CALM2	IPI00075248	88.28599609375
PSMC1	IPI00011126	PSMD1	IPI00299608	88.28599609375
COPS4	IPI00171844	COPS2	IPI00018813	88.223251953125
COPS3	IPI00025721	COPS2	IPI00018813	88.223251953125
JUNB	IPI00013439	RPS6KA1	IPI00017305	88.144248046875
TYK2	IPI00022353	KHDRBS1	IPI00008575	87.80400390625
CSK	IPI00013212	KHDRBS1	IPI00008575	87.80400390625
BTK	IPI00029132	KHDRBS1	IPI00008575	87.80400390625
ACTR3	IPI00028091	TAGLN	IPI00216138	87.68275390625
FLT1	IPI00018335	SRC	IPI00641230	87.326748046875
RGS2	IPI00013177	GNA12	IPI00328744	87.326748046875
PLG	IPI00019580	GGCX	IPI00305698	87.03150390625
RAD23B	IPI00008223	PSMD4	IPI00022694	86.80974609375
K-ALPHA-1	IPI00387144	TUBB2	IPI00007752	86.80974609375
RUVBL2	IPI00009104	RUVBL1	IPI00021187	86.80974609375
SNAP29	IPI00032831	SYBL1	IPI00020887	86.499501953125
EPHA1	IPI00294250	EFNB1	IPI00024307	86.329248046875
EPHB2	IPI00021275	EFNB1	IPI00024307	86.329248046875
EPHB3	IPI00289329	EFNB1	IPI00024307	86.329248046875
EPHB1	IPI00008315	EFNB1	IPI00024307	86.329248046875
ERBB2	IPI00300384	GRB10	IPI00012752	85.639501953125
INSR	IPI00025803	CRK	IPI00004838	85.639501953125
KIT	IPI00022296	CRK	IPI00004838	85.639501953125
SNRP70	IPI00290204	PABPC1	IPI00008524	85.422998046875
CDK7	IPI00000685	CCNH	IPI00021305	85.422998046875
HIRA	IPI00217560	H3F3A	IPI00219038	85.422998046875
NAP1L1	IPI00023860	H3F3A	IPI00219038	85.422998046875
H3F3A	IPI00219038	RBBP4	IPI00328319	85.422998046875
H3F3A	IPI00219038	CORO1C	IPI00008453	85.422998046875
VPS33A	IPI00073179	VPS18	IPI00001985	85.375
GNAO1	IPI00220281	GNAI2	IPI00465121	85.31275390625
NCK2	IPI00306531	RAF1	IPI00021786	85.28599609375
JAK2	IPI00031016	RPS6KB1	IPI00216132	85.28599609375
JAK2	IPI00031016	MAPK1	IPI00003479	85.28599609375
VAV1	IPI00011696	STAT5A	IPI00030783	85.28599609375
RPA2	IPI00013939	MCM3	IPI00013214	85.28599609375
EEF1B2	IPI00178440	CARS	IPI00556365	85.28599609375
MCM3	IPI00013214	GTF2B	IPI00022820	85.28599609375
STAT5A	IPI00030783	WAS	IPI00001545	85.28599609375
STAT5A	IPI00030783	DOCK2	IPI00022449	85.28599609375
STAT5A	IPI00030783	DOK1	IPI00015287	85.28599609375
STAT5A	IPI00030783	CD2AP	IPI00412771	85.28599609375
CRKL	IPI00004839	CD2AP	IPI00412771	85.28599609375
STAT5B	IPI00103415	CBLB	IPI00292856	85.28599609375
PAK1IP1	IPI00549540	LSM2	IPI00032460	85.28599609375
PDLIM5	IPI00007935	EEF1A1	IPI00025447	85.262998046875
GNAZ	IPI00328128	FSHR	IPI00303575	85.095498046875
FSHR	IPI00303575	GNA11	IPI00305551	85.095498046875
FSHR	IPI00303575	GNAI1	IPI00337415	85.095498046875
FSHR	IPI00303575	GNA12	IPI00328744	85.095498046875
PSMD3	IPI00011603	CKS1B	IPI00015104	85.01025390625
TP53	IPI00025087	HDAC1	IPI00013774	84.060751953125
H3F3A	IPI00219038	EP300	IPI00478752	84.060751953125
HDAC1	IPI00013774	EP300	IPI00478752	84.060751953125
PLG	IPI00019580	APOA2	IPI00021854	84.057998046875
F12	IPI00019581	PON1	IPI00555746	84.057998046875
SPINK1	IPI00020687	REG1B	IPI00009027	84.057998046875
PRL	IPI00000871	CSH2	IPI00000889	84.057998046875
APOA1	IPI00021841	APOA2	IPI00021854	84.057998046875
APOA2	IPI00021854	ALB	IPI00022434	84.057998046875
APOC3	IPI00021857	HRG	IPI00022371	84.057998046875
APCS	IPI00022391	PON1	IPI00555746	84.057998046875
AMBP	IPI00022426	ORM1	IPI00022429	84.057998046875
AMBP	IPI00022426	PON1	IPI00555746	84.057998046875
