P06493	CDK1	NEG
P68400	CSNK2A1	NEG
P51149	RAB7A	NEG
Q9UJW3	DNMT3L	NEG
P78364	PHC1	NEG
Q15910	EZH2	NEG
Q9BQ52	ELAC2	NEG
Q06587	RING1	NEG
Q04771	ACVR1	NEG
P36897	TGFBR1	NEG
Q9UIS9	MBD1	NEG
Q15276	RABEP1	NEG
Q9UJ41	RABGEF1	NEG
Q01081	U2AF1	NEG
P26368	U2AF2	NEG
Q96RL1	UIMC1	NEG
P08069	IGF1R	NEG
P06213	INSR	NEG
P62873	GNB1	NEG
O00206	TLR4	NEG
Q16384	SSX1	NEG
Q99909	SSX3	NEG
O60224	SSX4	NEG
P63279	UBE2I	NEG
Q92843	BCL2L2	NEG
Q07812	BAX	NEG
Q16611	BAK1	NEG
P19544	WT1	NEG
O60663	LMX1B	NEG
P30153	PPP2R1A	NEG
Q9NQT5	EXOSC3	NEG
Q96CV9	OPTN	NEG
P04792	HSPB1	NEG
Q9BXW9	FANCD2	NEG
Q14396	UNKNOWN	NEG
Q9H2B2	SYT4	NEG
Q5TD97	FHL5	NEG
Q9Y6Q1	CAPN6	NEG
P02533	KRT14	NEG
P62937	PPIA	NEG
Q99569	PKP4	NEG
Q9BUQ8	DDX23	NEG
P49069	CAMLG	NEG
Q8TAE8	GADD45GIP1	NEG
P31949	S100A11	NEG
Q7LDG7	RASGRP2	NEG
Q15050	RRS1	NEG
Q5VSY0	GKAP1	NEG
Q92633	LPAR1	NEG
P31946	YWHAB	NEG
Q7L590	MCM10	NEG
Q14192	FHL2	NEG
Q13643	FHL3	NEG
P01112	HRAS	NEG
Q9UJV9	DDX41	NEG
Q9Y618	NCOR2	NEG
Q05586	GRIN1	NEG
Q15583	TGIF1	NEG
Q9P1Z0	ZBTB4	NEG
Q08170	SRSF4	NEG
Q07955	SRSF1	NEG
P62995	TRA2B	NEG
P63162	SNRPN	NEG
P14136	GFAP	NEG
Q15424	SAFB	NEG
P13647	KRT5	NEG
Q16763	UBE2S	NEG
P62834	RAP1A	NEG
Q13247	SRSF6	NEG
P35590	TIE1	NEG
Q9UBY5	LPAR3	NEG
P07384	CAPN1	NEG
P51452	DUSP3	NEG
P49116	NR2C2	NEG
O14733	MAP2K7	NEG
P53667	LIMK1	NEG
P27815	PDE4A	NEG
Q07343	PDE4B	NEG
Q08493	PDE4C	NEG
Q08499	PDE4D	NEG
P48729	CSNK1A1	NEG
P48730	CSNK1D	NEG
P49674	CSNK1E	NEG
Q9BUZ4	TRAF4	NEG
Q9Y4K3	TRAF6	NEG
Q92558	WASF1	NEG
Q99708	RBBP8	NEG
Q9NX02	NLRP2	NEG
Q8TAK5	GABPB2	NEG
Q92572	AP3S1	NEG
P28482	MAPK1	NEG
P35348	ADRA1A	NEG
Q08211	DHX9	NEG
Q9BUB5	MKNK1	NEG
Q9Y6F6	IRAG1	NEG
Q13415	ORC1	NEG
Q9UBP5	HEY2	NEG
Q9UKW4	VAV3	NEG
P41220	RGS2	NEG
Q16143	SNCB	NEG
Q9Y3M2	CBY1	NEG
P52735	VAV2	NEG
Q16539	MAPK14	NEG
