1	0
3	2
4	1
6	5
8	7
10	9
12	11
13	10
14	13
15	2
16	2
16	3
16	15
17	11
17	12
18	11
18	12
18	17
20	19
21	8
22	21
24	5
24	21
24	23
25	11
25	12
25	17
25	18
26	11
26	12
26	17
26	18
26	25
27	4
28	4
28	27
30	29
31	11
31	12
31	17
31	18
31	25
31	26
32	11
32	12
32	17
32	18
32	25
32	26
32	31
33	29
33	30
35	34
36	13
37	13
37	36
39	38
40	14
41	13
41	40
42	13
42	14
42	40
42	41
43	40
43	42
44	27
44	28
45	28
45	44
46	2
47	7
47	21
47	24
47	35
48	2
50	22
50	47
50	49
52	51
53	7
53	21
53	47
55	54
56	49
56	50
57	52
58	11
58	12
58	17
58	18
58	25
58	26
58	31
58	32
59	13
59	14
59	40
59	41
59	42
59	43
60	9
60	10
61	13
61	14
61	40
61	41
61	42
61	43
61	59
62	35
62	61
63	8
63	11
63	12
63	17
63	18
63	25
63	26
63	31
63	32
63	58
64	13
64	14
64	40
64	41
64	42
64	59
64	61
65	48
66	62
66	65
67	5
67	19
67	34
67	35
67	47
67	62
68	19
68	23
68	67
69	5
69	6
69	19
69	20
69	21
69	23
69	35
69	47
69	49
69	50
69	56
69	67
69	68
70	22
70	69
72	71
73	0
73	1
74	11
74	12
74	17
74	18
74	25
74	26
74	31
74	32
74	58
74	63
75	13
75	36
75	37
75	40
75	41
75	42
75	59
75	61
75	64
76	2
76	3
76	15
76	16
77	11
77	12
77	17
77	18
77	25
77	26
77	31
77	32
77	58
77	63
77	74
78	11
78	12
78	17
78	18
78	25
78	26
78	31
78	32
78	58
78	63
78	74
78	77
79	69
80	67
80	68
80	69
82	81
83	13
83	14
83	36
83	37
83	42
83	59
83	61
83	75
84	5
84	6
84	34
84	67
84	68
84	69
84	80
85	29
85	30
85	33
85	37
86	11
86	12
86	17
86	18
86	25
86	26
86	31
86	32
86	58
86	63
86	74
86	77
86	78
87	14
87	40
87	41
87	42
87	43
87	59
87	61
87	64
89	88
90	2
90	3
90	15
90	16
90	46
90	59
90	76
92	13
92	36
92	37
92	91
93	2
93	3
93	16
93	59
93	76
93	90
94	54
94	55
95	19
95	21
95	24
95	47
95	49
95	50
95	56
95	68
95	69
96	72
97	71
97	72
97	96
98	52
98	57
99	51
99	52
99	57
99	98
100	34
100	35
100	56
100	62
100	67
100	69
101	20
101	47
101	69
102	0
102	1
102	73
103	9
103	10
103	11
103	60
104	103
106	105
107	21
107	47
107	67
107	69
108	19
108	20
108	24
108	50
108	69
108	84
108	95
108	101
109	19
109	67
109	69
109	70
109	108
110	5
110	19
110	20
110	23
110	35
110	47
110	56
110	67
110	68
110	69
110	100
110	108
110	109
112	111
113	8
113	21
113	47
114	29
114	30
114	33
114	37
114	85
115	5
115	34
115	35
115	62
115	67
115	69
115	70
115	84
115	100
115	108
115	110
116	103
118	117
120	119
121	9
121	10
121	60
121	103
121	116
123	122
124	23
124	35
124	62
124	67
124	69
124	100
124	110
124	115
125	48
125	65
126	48
126	62
126	65
126	66
126	125
127	4
127	27
127	28
128	66
128	126
130	68
130	69
130	129
131	44
132	16
132	35
132	47
132	61
132	62
132	67
132	69
132	100
132	107
132	115
132	124
134	133
135	8
135	21
135	113
136	33
136	59
137	2
137	3
137	16
137	76
137	90
137	93
138	8
139	138
140	19
140	20
140	35
140	67
140	68
140	69
140	95
140	108
141	44
141	45
141	131
142	38
142	39
143	9
143	103
143	104
143	116
143	121
144	54
144	55
144	94
145	48
146	145
147	15
147	48
148	36
148	37
148	92
149	27
149	44
150	51
150	52
151	83
152	83
152	151
153	52
153	57
153	98
153	99
154	81
155	22
155	70
156	22
156	108
156	155
158	157
159	84
160	27
160	28
160	127
161	51
161	150
163	162
164	48
164	65
164	125
164	126
164	147
166	165
167	9
167	10
167	60
167	103
168	45
169	60
170	62
170	65
170	66
170	126
170	164
171	154
173	172
174	116
175	174
176	7
176	138
177	82
178	133
178	134
180	179
181	48
181	147
181	164
182	6
182	68
182	84
182	129
182	130
183	159
184	9
184	103
184	121
184	143
185	72
185	96
185	97
186	126
187	138
187	176
189	188
191	190
192	162
194	193
195	84
195	108
196	60
196	103
197	169
198	179
199	138
201	200
202	188
202	189
203	37
203	162
203	192
205	204
206	161
207	196
208	119
208	120
209	71
210	208
211	96
211	185
212	69
213	11
214	103
214	143
215	103
216	75
217	216
219	218
220	168
221	46
