p1,p2,score
YIR010W,YPR034W,0.53606884449893
YBR101C,YDL229W,0.7576783419403
YHR069C,YNL251C,0.53606884449893
YNL055C,YNL131W,0.660028449502134
YMR255W,YMR273C,0.96333582259458606
YER148W,YJL115W,0.7576783419403
YKL203C,YMR011W,0.630229419703104
YCR012W,YDR188W,0.53606884449893
YJL083W,YPL004C,0.682167453566882
YHR083W,YJR045C,0.660028449502134
YLL034C,YPL198W,0.54847104749512
YDR087C,YLR002C,0.54847104749512
YKL126W,YLL039C,0.784767882955442
YMR116C,YOR096W,0.836115707810694
YBR194W,YGL031C,0.53606884449893
YBR183W,YOR254C,0.501079807013215
YBR088C,YHR031C,0.742881415725322
YNL175C,YNR051C,0.753242918792004
YBR041W,YJR009C,0.630229419703104
YDR121W,YIL126W,0.53606884449893
YKL167C,YPL183W-A,0.54847104749512
YJL036W,YLR423C,0.988984423452145
YGL014W,YHR141C,0.836115707810694
YBR106W,YHR094C,0.802574327141127
YDR128W,YGL205W,0.852119274942154
YOR160W,YOR185C,0.682167453566882
YJL057C,YOR162C,0.525804493017608
YBR091C,YKL195W,0.934898032638025
YER031C,YFR004W,0.53606884449893
YDR468C,YMR197C,0.998883564260152
Q0105,YBL030C,0.80746160453379
YBR017C,YMR241W,0.721967550772767
YGR120C,YIL004C,0.525804493017608
YHR108W,YJL207C,0.823939570017432
YOR174W,YPL042C,0.985651702163765
YML058W,YMR083W,0.852119274942154
YLL039C,YPR032W,0.53606884449893
YGL207W,YIL021W,0.660028449502134
YLL039C,YNR006W,0.99999592560229
YFL010C,YKL139W,0.525804493017608
YKR081C,YOR005C,0.852119274942154
YDR237W,YKR006C,0.889168054734813
YKL172W,YOR294W,0.99523944360048
YKL134C,YPL109C,0.852119274942154
YLR249W,YPL048W,0.836115707810694
YDL215C,YLL039C,0.53606884449893
YIL133C,YLR448W,0.921706009057121
YJR125C,YOR036W,0.748446958803049
YBR279W,YOR039W,0.836115707810694
YDR087C,YLR449W,0.54847104749512
YEL058W,YNL218W,0.971175843289377
YJL124C,YJR022W,0.61086041721213
YBL027W,YNL301C,0.859922722080967
YGR014W,YNL298W,0.786182747552049
YML016C,YOR181W,0.53606884449893
YDR416W,YJR050W,0.999997120201182
YER151C,YNL110C,0.753242918792004
YDR310C,YOR279C,0.908003749817182
YGL120C,YJR123W,0.54847104749512
YHR203C,YLR432W,0.889168054734813
YPL106C,YPL137C,0.890653121584812
YGR040W,YPL049C,0.999996055823994
YER095W,YLR337C,0.824118856508057
YBL102W,YLL039C,0.53606884449893
YDL082W,YDL083C,0.921706009057121
YDR240C,YOR308C,0.53606884449893
YJL041W,YML031W,0.53606884449893
YHR010W,YHR088W,0.54847104749512
YLR270W,YMR120C,0.703072689507346
YER006W,YJR110W,0.852119274942154
YLL045C,YLR441C,0.921706009057121
YER047C,YOL034W,0.827664637956315
YDR324C,YNL132W,0.889168054734813
YMR231W,YOR106W,0.660028449502134
