P07278
P06782
P07342
P38930
P07269
P50278
P14922
P05453
P19262
P20967
Q00764
P31688
P09798
P14724
P16522
P38042
P00899
P07258
Q04199
Q12495
P13393
P23255
P38995
P29056
P61830
P06701
P11978
P02293
P06700
P38959
P23287
P25296
P09959
P24869
P29295
P23291
P53540
P38863
P32380
P19097
P32468
P32524
P19736
P38426
P15790
P12398
P43639
P16649
P04911
P40368
Q00916
P47093
Q02875
P31244
P40567
P38883
P40070
P42073
P22543
P33750
P40957
P40958
P18852
P18851
P20433
P32835
P20676
P13902
P17119
P07270
P06787
P39520
Q06205
P53863
P39723
P25607
P43611
Q05790
Q00955
P32361
P28742
P35191
P12689
P22579
P09547
P33315
P32828
P32639
Q99181
P39102
P27705
Q02554
P53236
P25644
P53147
P40438
P48240
P53742
P24384
Q12186
P27351
P40467
Q04746
P32909
P36084
P39682
Q06488
P21560
Q07350
P32843
P39936
Q03899
Q04195
P36056
Q12431
P11075
P25648
P38187
Q12411
P32522
Q02260
Q02775
P38227
P53090
P34230
P43321
P38927
P23201
P53339
P40018
P47818
P25588
Q08562
Q12080
P32606
Q01846
P50105
P53615
P12954
Q03441
Q04005
P38811
Q08409
Q06199
P32499
P32605
P14306
Q12033
P38892
Q02046
P38769
P18900
P22147
Q03497
Q03388
Q04149
P17709
Q03048
P04386
P07248
P32629
Q12157
P35197
P40576
Q08484
P32354
P60010
P46985
P41895
Q12018
P25630
P46671
P29539
P23561
P06784
P16892
P32917
P14681
P13574
P25344
Q06891
P01119
P38523
P15891
P17555
P29366
P19073
Q12446
P32599
P13517
P32790
P07274
P40450
Q00246
P52960
P37370
Q02336
P32494
Q03330
P50875
P03069
P04387
Q05027
P53040
P38129
P46677
P35177
Q12060
Q6B184
P23642
Q12440
P25454
P25453
P32910
P36121
P28000
P20434
P22138
P27999
P04051
Q04307
P22139
P08518
P33339
P32529
P38902
P32523
Q08920
Q08683
Q12107
P53068
P53886
Q04601
P87108
P39010
Q06697
P35189
P22082
P10862
P21264
P38275
P38972
Q12343
P04161
P25337
Q12433
P32502
P40356
Q08269
P40344
P53104
P32379
Q06628
Q12380
P38316
P38182
Q00776
P38700
P48360
Q04549
P36068
P39011
P40448
Q12110
P34730
P40087
P38785
P48238
P12962
P18888
P07991
Q06178
P18898
P52286
P31111
P06243
P07250
Q12094
Q04839
P38147
P38150
P43638
P24868
P20486
Q04031
P24870
P47074
P53955
Q03652
Q00947
P33308
O93938
Q08831
P23285
P25651
P53267
P53550
P39998
Q12517
Q06819
Q03373
P40013
P53168
Q04739
Q03466
Q02794
O13547
P53091
P35210
P17214
P53971
P20081
P18562
P32805
Q03778
P10869
P40016
P39925
Q12063
P47069
P12383
P01365
P07703
P50108
P53724
P47160
P00330
P33304
P39743
P06780
Q12280
P00331
P38960
Q12452
P40581
P32569
P53904
P33199
Q03697
P38086
P25441
Q04493
Q08273
P38853
Q06159
Q12753
P50102
P47042
P32337
Q06672
P53036
P32259
P47135
P38302
Q04226
P38987
P33296
P40959
P40480
P23292
P41913
P06100
P28239
P15315
Q07442
P34758
P32598
P47017
P38229
P32521
P38224
P43577
Q02784
P39676
P32836
P42944
P06774
Q02516
Q08956
Q12306
P32505
P14680
P53687
P25293
P41833
P36000
Q04431
P38236
Q04396
Q04087
P38203
P53905
Q06217
O13550
P32601
Q03503
Q06667
P39939
P39938
P00931
P53755
P35193
P34234
P33418
P39517
P0C0X0
P53237
Q02197
P47167
P32570
Q08278
P16523
Q99278
P39014
P38346
Q02659
P43563
Q99316
P14741
P32497
P33420
P32832
Q08685
P39081
Q12527
P32473
P27796
P35190
P17157
Q12477
P35497
Q07786
P19541
P24583
P32334
P32829
P40460
Q12175
P40357
P08153
P52918
Q12277
P39731
P32500
P40060
Q03790
P53271
Q12134
P53044
P32356
P38620
P38910
P14907
P48837
Q06568
P25298
Q06410
P25693
P47029
P40038
P39108
P50091
Q08966
P39970
Q12163
P15380
P50623
Q05024
Q12251
P46983
Q07418
P43619
P43594
P32496
P38254
P38313
P33298
P38204
P32786
P32838
P53043
P38956
Q12206
Q12447
P14908
P09032
P06838
P48581
P32628
P61864
Q99401
P29703
P32485
P38729
P47043
P21190
Q06149
Q03954
Q03981
P05318
P33297
P25378
P53047
P38266
Q03919
Q07589
Q12330
P32566
P43568
P54999
P38149
P11353
P33307
Q02772
P00127
P53270
P12904
Q06479
P49017
Q12310
Q03144
P43544
P43545
Q12368
P33757
Q02793
P17123
P23624
Q04921
P06843
P38304
Q02821
P28240
P53081
P19881
Q05016
P32916
P39015
P37297
Q04175
Q08229
Q01722
P33327
Q12181
P32906
P53824
P40151
P36100
P32776
P14904
P52871
P36149
Q99395
P38080
Q12059
P39001
P38130
Q06245
Q12241
P32912
P53845
P14359
Q12016
Q08743
P39929
P53112
P22149
P39706
P27637
P25623
P32939
P38784
Q03323
P32913
P38753
Q06696
Q03768
Q03920
P02400
P38278
P38303
Q12098
P40485
P53924
P25582
P40052
P25389
P25575
P25349
P38967
P47976
Q12489
P38767
P26321
Q07395
Q07438
P39977
P40326
Q03435
Q02774
P38771
P36103
P53858
P40079
P53124
P15108
P43588
Q12199
Q03533
Q03337
P38234
Q03835
P50113
P38624
Q12084
P40588
P53277
P32491
P35719
Q02199
P40164
P40898
P35203
P21374
Q03973
P46679
P53691
O13329
P52920
Q12240
P34253
P32564
Q03944
Q05930
Q06096
P43547
P38806
P25559
Q7LIF1
P14164
P11076
P39547
P14693
P38305
P39111
Q00582
P53899
P43634
Q06169
Q08492
P25502
Q12342
Q07622
Q12468
Q07732
P38871
Q03406
Q12457
Q12335
Q03900
Q03559
Q12298
P53069
P38962
Q04598
Q04491
Q04368
P53917
P36120
P35718
Q05583
Q05635
P89886
Q04179
Q03375
P53189
P43614
P43615
P53176
P53087
P32837
P53074
P53066
P32432
P53210
P53238
P53244
P48239
P53343
P53717
P38751
P38725
P47090
P38888
P40554
P40465
P34217
P25637
Q08726
P36097
Q02457
P36144
Q12525
Q12013
P38815
Q12270
P32622
P38823
P38872
P40552
P40515
P32350
Q00772
Q06168
P54861
P28320
Q04477
P53215
P28708
Q06010
Q02205
Q02209
P32788
P35734
Q07887
P43132
Q12142
Q06137
P38796
P18634
P50095
P25351
P42843
P47038
P53729
Q12285
P36083
P53935
Q03231
Q12030
O13558
P00358
Q04638
Q07834
P39008
Q04749
Q04177
Q03649
Q04902
Q12052
P53754
Q08204
P39923
P40325
P50946
P48232
Q08729
Q08817
Q06162
P53933
P35727
P21192
P25611
P53965
P32793
Q06102
P20107
P38194
P38240
P00546
Q12434
Q06406
P01123
P38555
P36125
P40955
P53311
P38208
P33754
P38334
P36131
O13554
P38957
P53108
P25605
Q12082
P50945
P25657
Q12264
Q12513
P53082
Q03860
P53738
P11747
P36973
Q03322
Q04110
P00128
P40092
Q92317
P53823
P53269
P25357
P38742
P38727
Q02204
Q12223
P53039
P34238
P38782
P40314
P40518
P40857
P46962
P25591
P46988
P39534
P47150
P35691
Q05874
P32859
Q04231
Q07914
Q07986
Q99176
P54837
P49166
P53910
Q04868
P34166
Q12208
P38713
P40020
P32854
Q06651
P53633
P04050
P16370
P06104
P40414
P34162
P47822
P09734
P47124
P46672
P46655
P39524
P38328
P32381
P36006
Q04439
Q06681
P36018
P53169
Q02574
P33204
P47122
Q03750
P53829
Q01389
Q06708
Q07623
P40539
P36118
P38874
Q08786
P39550
P46947
Q05636
O13565
P26343
Q05933
Q08977
P47012
Q02804
P20438
P22137
Q12415
P32325
Q06160
P26570
P80428
P20050
P40528
P39678
P39016
P32389
Q12041
Q12518
P30771
P52891
P11433
P21268
P22804
P20606
P25385
P26449
Q03758
P17106
P33331
P32864
P39958
P22214
Q04338
Q12255
P25491
P25655
P06102
P34909
P06242
P02829
P01120
P14771
P10591
P04821
P09435
P09119
P24871
P40075
P11927
P38692
P39935
P04147
Q12514
P07834
Q06648
Q00362
P38826
P52488
O13297
Q01159
P49334
Q03761
P53731
P27466
P22517
P07273
P19524
P38431
P25302
P03965
P47103
P32561
P31539
P30822
P49686
P40477
P21827
P19880
P41920
P18963
P08678
P22204
P32562
P26793
P20437
P13365
P32501
P09064
P15705
P38904
P32600
P04385
P19659
P25046
P32585
P36145
Q06624
P09733
P39937
P46954
P33892
P15442
P32774
P41818
Q12315
P23202
P10592
P11972
Q06142
P02309
Q12341
P18480
Q03213
P08018
P29461
P40048
Q99383
P25299
P10961
P28006
P40036
P36047
P06101
Q03063
P41697
Q06706
Q02908
P20435
P40457
Q02629
Q02630
P16474
Q12045
Q03290
Q08963
P11914
P38889
P07249
P11746
P05085
Q08032
P29496
P24279
P38132
P40573
P32490
P38920
P25847
P14242
P15873
Q07980
P33301
Q12328
Q03834
P28519
P06777
P06839
Q00578
P25336
P33334
P34077
P49687
P13433
P35179
Q04673
Q07084
Q12129
P46970
P18410
P52593
P47054
P38798
P46674
P38696
P39875
P16521
P39083
P39685
P14064
P06704
P17891
P39013
Q12124
P12385
P17255
P01149
P40517
P40066
Q99380
P38121
Q04511
Q12288
P32873
Q05863
P32604
Q12429
Q99189
P47170
P36094
P32336
P38217
P32767
P32773
P39515
P32897
P40064
P38181
P39955
P54784
P54790
P54791
P21691
P32833
P50874
P41543
P46964
Q92316
P48439
P39007
Q02795
P33767
P38282
P40091
P32486
P53010
P29468
Q12102
Q01329
P40155
P80667
P35056
P32796
P20052
P29055
Q12224
P34226
P32807
P32578
P42845
P14906
P07560
P31109
P18759
P32607
P39940
P53437
P53549
P17079
P41805
P43565
P06778
Q00816
P07261
P22216
P06779
P40217
Q04067
P36024
P31384
P47110
P13382
P40348
P38629
P40339
P38251
P24482
P10363
Q01852
P23644
P38314
P09232
P40530
P04710
P53893
P53837
Q12271
Q12096
P48582
Q12461
P34228
Q12476
Q04089
P32481
P53100
P40527
P21672
P57743
Q04748
P32874
Q05029
Q08337
P12611
P39073
O14455
P32074
P53622
Q05543
Q04119
P40077
P35688
P40212
P26786
Q08581
P33894
P25345
Q07527
P40089
P43538
P38750
P37291
P12866
P49960
P25270
P51979
Q04991
Q07468
P20053
P25612
P47068
P36117
P14772
P33760
P18544
Q01684
P30775
Q03667
P53727
P23615
P47171
O13527
P38198
P38065
P07256
P40570
P08638
P46963
P47117
P02365
P21951
Q06625
P33419
P38736
P14736
Q00416
P30619
Q12329
P32903
Q04792
P23059
P40395
Q12275
P38699
P35817
P30283
Q06389
Q04964
P08539
P40473
P39545
P08468
P32911
Q07549
Q04322
P21243
P06786
P35187
P13099
P32602
Q12287
P38348
P17558
P36048
Q03770
Q12309
P39734
P25649
Q12516
P36075
Q08206
Q08931
Q12436
Q03656
P38804
P40507
Q08550
P32525
P38257
P33338
P18494
P43123
P38764
P25343
P33200
Q05670
Q03018
P39112
P32855
Q12034
Q01532
P22213
P35209
Q99314
P20447
P38862
P32458
Q07872
P39969
Q08754
P00912
P53310
Q03691
P32584
P22224
P32944
P32618
P53280
P54786
P21339
P38165
P87283
P40505
P47057
P48562
P32526
Q03898
Q02606
P53721
P38877
P39009
Q05031
P53857
P48231
P23748
P47049
P39946
Q12744
Q04461
P48568
P38870
Q99332
Q06440
P53968
P38890
Q05080
Q12377
P38261
P25555
Q08908
P40956
Q06604
Q04437
P52917
Q03818
P40469
Q02892
P22209
P38277
P53309
P43603
P32827
Q04659
P39677
P38274
P25044
P50942
Q08227
Q12405
O13564
P28004
P38837
Q03831
Q12324
Q12317
P38791
Q03792
P21242
P53106
Q08018
P30656
P30657
P30402
P39718
P53184
P36023
P40316
P34078
Q00539
P23594
P40302
Q12194
P25043
P53243
P23724
P23639
P15938
Q08162
P35194
O13556
Q08226
P46974
Q03776
P25451
P43124
P53599
Q05541
P38697
P21269
Q05787
P38176
Q06677
P40042
P53177
P38716
P32803
P36058
P14737
P38232
Q06091
Q12300
P35844
O13583
Q06815
P40032
Q12250
P34239
P31379
P48235
P13856
P40476
P33314
P53979
Q06005
P23638
P53851
P53102
P46151
P05375
P46982
Q02866
P19454
P06105
P40063
P34237
Q07843
P33299
P28495
P40030
P53159
P47037
Q06179
P33895
P30902
P07251
P00856
Q02732
P00830
Q03012
P38163
P45976
Q06339
P28274
Q04934
P32489
P12612
P38200
Q04377
P38817
P20457
P39523
Q05672
Q12390
P25370
Q08214
P32610
P32563
Q12115
P36116
P53030
P32908
P01097
P53253
Q06629
P38989
Q07508
P40014
P17536
P31376
Q07457
P53900
P17065
P35736
P27895
Q12349
P36022
Q12267
P41901
P11709
P47149
P52553
Q00402
P32457
P21306
P81450
Q12233
P05626
Q06405
P00854
P61829
P09457
P32453
P39926
Q02948
P12753
P38810
Q12263
P40352
Q06608
Q12483
Q07829
Q06682
Q04660
P36224
P50264
Q04048
P47152
Q06538
P26755
P53245
Q06598
Q06616
P25087
Q06103
P34167
Q06098
Q06466
Q12374
P48527
P21825
Q12232
Q12067
Q08465
Q08417
Q08293
P48164
P36525
Q03233
Q06188
O13543
Q05779
P35999
P22696
P50086
P53038
P41896
P43560
P43579
P40049
P40047
P32775
P87282
Q03864
P25558
P38311
P38123
P38068
Q06822
Q06821
Q12284
Q12154
P32603
P07263
P53345
Q08992
Q06813
P37838
P38363
P53853
P02294
P07257
P43582
P08425
Q12049
P26263
Q12028
Q12402
Q08987
Q03430
P41819
Q08979
P38207
P32875
P50089
P43595
P38066
P38627
P38190
P34221
P37020
P38166
P38162
Q12020
Q12179
P39996
P20095
P40586
Q08970
Q08968
Q03677
P38214
P39904
Q08964
P39565
P32806
Q08955
Q08952
P38072
Q08498
Q03759
P42940
P43598
P39729
Q12462
P07245
P38210
P40442
P46670
P38064
P11163
Q07716
P49089
Q03083
Q06835
P38726
P43635
P38063
Q02950
P41800
P53632
Q08110
P53751
P80210
P36088
P32263
P40319
P32179
Q12395
P38778
P36528
Q08951
Q12152
Q07451
Q07811
P40040
Q99257
P09201
Q12254
Q12417
Q06170
Q03029
P19358
Q05468
P32841
P53281
P43580
P38139
Q02891
P53093
P25635
Q02831
P87288
P04817
P40328
P40323
Q99312
Q06549
P40892
P38744
P53204
P33317
Q02749
P19657
Q12176
Q02724
P25354
Q12089
Q12493
Q08907
Q08905
P23968
P06776
P47128
P24720
Q12507
P22215
Q04033
P38969
P53720
Q12259
P47153
P07244
Q08746
Q04162
Q12305
P40159
P38839
P42223
P04802
P07884
P33401
P48606
P47044
Q06525
Q12274
Q08650
P53174
Q08649
Q08646
Q08641
Q12340
P27825
P40218
P00549
P36032
Q12044
Q08558
P40045
Q12125
Q04066
Q02521
Q08949
P38276
P38439
P47079
P87271
Q12289
P42840
Q08491
P41834
Q08490
Q12078
Q08232
Q08457
Q04329
Q08448
P40455
P20449
P53126
Q08419
Q07800
P35271
P25584
P40093
Q06411
Q03219
P38903
P53011
P33890
Q12118
P25036
P43554
P21304
P53265
P89105
Q08270
P53842
P09624
P40512
Q12469
Q12239
Q08108
Q12215
Q12272
P32353
Q08240
Q12039
Q99345
P23301
P32656
Q06709
Q12449
P32469
Q08199
Q08193
Q08144
Q08118
Q12006
Q07804
P53741
P38999
P53733
P53873
P47052
P27514
P53939
P47115
P24004
P32478
P43552
P53831
P08465
P53846
P52919
P53847
P38781
P34218
Q02555
Q08962
Q06686
P53868
Q06208
P40157
Q04429
Q03177
P47041
P38193
Q06592
P53877
Q05788
P08536
P36102
P00360
P42951
P06773
P39975
P38310
Q08300
Q12443
P38326
P35198
Q08789
P54862
Q03433
Q05510
Q03050
Q12123
Q12189
Q12320
P50947
P00044
P43574
P28241
P17423
P15992
Q04347
P33442
Q04418
P38615
P38633
Q06127
P40519
Q04779
P39002
Q03897
P37261
P32454
P38703
P53060
P39076
P32572
Q12365
Q04432
P43549
P05373
P51601
P32318
P40037
P41940
P25367
P39708
Q01574
P05750
P53885
P53934
P47912
P38164
P53959
P01095
P41948
Q05948
P36077
Q05791
P28496
Q12327
P38875
P38801
P53050
P53301
P47083
P53507
Q12745
P53154
P53953
Q10740
P28834
P47821
P40584
P39113
P53834
P38428
P39927
P40546
P42846
Q12460
P11745
P38852
P38728
P12868
Q03655
P29340
P53089
P16862
Q03694
P38756
P53303
Q03236
Q00453
O13587
P43536
Q03795
P40073
Q05166
P28626
P39711
P38140
Q04272
Q03175
Q03151
P36013
P47142
Q07807
Q02608
P33122
Q12012
Q08686
Q08521
P36025
P52923
P53736
P53826
P40169
O13576
Q06053
P32794
Q12418
Q08023
P47172
P40523
P28007
P41903
P47026
Q04734
Q05775
P32861
P38820
Q04712
Q12506
P39979
P38749
P53250
P53397
Q03707
Q12222
P49957
Q06665
P25563
Q03446
P07279
P07267
Q02889
Q12363
P40074
Q03407
P24813
Q06385
Q03195
P11710
P38349
P38315
P38263
P38220
P38124
P38173
P05754
P40056
P40083
Q12099
P53101
Q03124
Q12746
P53290
P53330
P04650
Q03760
P38199
Q12191
Q04201
P54787
P54005
P42221
Q03695
P48560
P45819
P37263
P00359
P10823
Q03935
Q03579
Q03532
P40555
P07246
P53747
P25569
P38868
P36076
P25659
P53890
P53891
Q08842
P53932
P53963
P53970
P53974
P35180
Q07978
Q03148
Q04305
Q03630
Q08503
P53718
Q04969
Q04697
P53956
P34760
P53975
P34160
P53752
Q04603
Q06695
P40210
P36027
Q08280
Q12035
P40963
P32366
P39744
Q12149
P53913
P53942
P34161
Q06417
Q12031
Q05905
Q06563
Q12127
Q07930
P40533
P53195
P43553
P87269
P53379
P25619
P32900
Q08903
Q08428
P40167
P40579
Q07738
Q06204
Q06216
P16467
P36169
P40459
P40471
P38827
P40041
P49775
Q06623
P36112
Q06707
P34165
Q12748
O13545
P25042
P37366
Q05934
P40526
P39953
Q06674
P38126
P51862
Q06485
P41698
P33328
P00812
P50861
P42884
P46946
P29509
P38986
P15202
O94084
P38122
P36029
Q06135
P05317
P10622
O94085
P49167
Q06703
P08004
Q06489
P53825
P40162
P53982
Q03218
P28625
P40214
P40211
Q03629
P32802
P31412
P47157
P40509
P40889
P22135
P08525
P40365
P40452
P40481
P40520
P41277
P40185
P40186
P40536
P48362
P53297
P53251
P53077
P40094
P22108
Q07684
Q99207
P38913
P80235
P12754
Q12400
Q12692
P53872
P53896
P53927
O13573
Q08045
Q07951
Q03180
P36057
P34251
P36092
P47174
P47129
P23641
P47096
P47040
Q06218
P25617
P38307
P38306
P38269
P32830
Q05881
Q06224
Q07410
Q06151
P25301
Q06150
Q03178
Q12303
P23500
P38172
P30624
Q02983
P25338
Q08904
Q08216
P32565
P04786
P09880
Q03263
Q05899
P47165
P53222
Q12164
P40917
P29704
P53258
Q12122
P33891
Q08222
P36108
P38842
P24000
O13531
Q12138
Q05776
O13549
P35729
P42936
P38260
P40152
P40051
P53976
P15019
P53323
P53053
Q05506
P38854
Q12248
P38340
P38353
Q06451
P46682
P38361
Q04502
P25562
P25376
Q04409
P17967
P25626
Q06148
Q12144
P36147
Q05998
Q08446
P32378
Q05942
Q12055
P32335
P38429
O13530
Q06324
Q07987
P27344
P06245
P53631
P07272
Q07879
Q12524
Q12455
Q12077
P20485
Q00245
P16658
P40059
P39012
P38693
P47113
Q12247
Q99382
P53274
Q12345
Q07967
P47156
P36004
P53249
Q04751
P42938
P22035
P53335
P32583
P36162
P36161
Q04411
P36123
P35192
P22515
P32463
P32895
Q06213
P48412
P53242
P32342
P38723
P35725
P40851
P26364
P10863
P39973
P87280
P38341
P53341
P04397
P38219
P53862
P38079
P38237
Q08271
P38362
P38238
P53300
P46948
P53307
P50087
P53332
P00447
P38763
P53584
P53390
P32324
P38085
P38247
P00635
P39965
P40095
P23180
P36003
Q08004
P38262
P38120
Q12121
P43573
P38285
P38288
Q08182
P40540
P38374
P25375
P38867
P38296
P38299
P13712
P38840
P07271
P38308
P38151
Q03730
P38343
P38922
P40556
Q03702
P25583
P25602
P25347
P40583
P25615
P40363
P25300
P46675
P43609
P25632
P38768
Q07528
Q07988
P25365
P25646
P38738
Q02651
P42937
P32899
P25606
P33893
P40858
Q12219
Q06200
P40562
P00927
Q12473
P38322
P50112
P53284
P40582
Q12229
P21147
Q12184
P25594
P38690
P47027
P08466
P32800
P47087
Q12334
Q07541
P33322
P25694
Q12202
P32643
P25566
P40503
P38689
P25332
P25366
P43637
Q05946
Q05043
P38115
P38339
P40486
P53185
P40015
P53167
Q04947
Q07990
P40076
P37265
Q04951
O13574
P36017
P47001
P38897
Q03718
P40303
P38330
P36093
P25554
Q07865
P38146
Q00618
P25627
P38342
P50896
P34249
Q04178
P47072
P40462
P53240
Q12136
P38180
P40971
P13090
Q00381
P39972
Q02256
Q99373
Q99393
P11412
P38225
P39982
P38347
Q06523
O13568
P53394
P33311
Q99299
P41930
Q02803
P39683
P54867
Q08231
P53757
P53740
P54839
Q06689
Q12478
P53983
P25297
Q04228
