From	To
P25337	sce:YCR063W
Q12433	sce:YOR023C
P32502	sce:YLR291C
P40356	sce:YGL025C
Q08269	sce:YOL130W
P40344	sce:YNR007C
P53104	sce:YGL180W
P32379	sce:YGR253C
Q06628	sce:YPR185W
Q12380	sce:YPL149W
P38316	sce:YBR217W
P38182	sce:YBL078C
Q00776	sce:YPL259C
P38700	sce:YHL019C
P48360	sce:YDR376W
Q04549	sce:YDR106W
P36068	sce:YKL130C
P39011	sce:YPL161C
P40448	sce:YIL163C
Q12110	sce:YLR049C
P34730	sce:YDR099W
P40087	sce:YER143W
P38785	sce:YHR061C
P48238	sce:YGR153W
P12962	sce:YOR276W
P18888	sce:YHL025W
P07991	sce:YLR438W
Q06178	sce:YLR328W
P18898	sce:YGL155W
P52286	sce:YDR328C
P31111	sce:YDR285W
P06243	sce:YDL017W
P07250	sce:YDR173C
Q12094	sce:YOR006C
Q04839	sce:YMR255W
P38147	sce:YBR274W
P38150	sce:YBR284W
P43638	sce:YJL042W
P24868	sce:YGR108W
P20486	sce:YBR135W
Q04031	sce:YDR412W
P24870	sce:YDL155W
P47074	sce:YJL013C
P53955	sce:YNL047C
Q03652	sce:YMR211W
Q00947	sce:YDR463W
P33308	sce:YNR010W
O93938	sce:YLL052C
O93938	sce:YLL053C
Q08831	sce:YOR359W
P23285	sce:YHR057C
P25651	sce:YCR086W
P53267	sce:YGR113W
P53550	sce:YNL118C
P39998	sce:YEL015W
Q12517	sce:YOL149W
Q06819	sce:YPR082C
Q03373	sce:YDR480W
P40013	sce:YER016W
P53168	sce:YGL061C
Q04739	sce:YER027C
Q03466	sce:YDR206W
Q02794	sce:YOR047C
O13547	sce:YLR390W-A
P53091	sce:YGL201C
P35210	sce:YKL020C
P17214	sce:YLR233C
P53971	sce:YNL023C
P20081	sce:YNL135C
P18562	sce:YHR128W
P32805	sce:YGL254W
Q03778	sce:YDR236C
P10869	sce:YER052C
P40016	sce:YER021W
P39925	sce:YER017C
Q12063	sce:YDL193W
P47069	sce:YJL019W
P12383	sce:YGL013C
P01365	sce:YCL066W
P01365	sce:YCR040W
P07703	sce:YPR110C
P50108	sce:YDR245W
P53724	sce:YNR022C
P47160	sce:YJR125C
P00330	sce:YOL086C
P33304	sce:YDR085C
P39743	sce:YDR388W
P06780	sce:YPR165W
Q12280	sce:YPL242C
P00331	sce:YMR303C
P38960	sce:YDR082W
Q12452	sce:YLR100W
P40581	sce:YIR037W
P32569	sce:YER022W
P53904	sce:YNL148C
P33199	sce:YGL015C
Q03697	sce:YML038C
P38086	sce:YBR073W
P25441	sce:YDL150W
Q04493	sce:YML094W
Q08273	sce:YOL133W
P38853	sce:YHR158C
Q06159	sce:YLR312C
Q12753	sce:YPR008W
P50102	sce:YMR223W
P47042	sce:YJL057C
P32337	sce:YMR308C
Q06672	sce:YLR435W
P53036	sce:YGL229C
P32259	sce:YNL236W
P47135	sce:YJR091C
P38302	sce:YBR188C
Q04226	sce:YML015C
P38987	sce:YML064C
P33296	sce:YER100W
P40959	sce:YMR004W
P40480	sce:YIL112W
P23292	sce:YNL154C
P41913	sce:YOR355W
P06100	sce:YDL165W
P28239	sce:YMR267W
P15315	sce:YGL166W
Q07442	sce:YDL070W
P34758	sce:YOR329C
P32598	sce:YER133W
P47017	sce:YJL124C
P38229	sce:YBR045C
P32521	sce:YIR006C
P38224	sce:YBR040W
P43577	sce:YFL017C
Q02784	sce:YPL059W
P39676	sce:YGR234W
P32836	sce:YOR185C
P42944	sce:YJL110C
P06774	sce:YGL237C
Q02516	sce:YOR358W
Q08956	sce:YPL201C
Q12306	sce:YDR510W
P32505	sce:YGL122C
P14680	sce:YJL141C
P53687	sce:YOR025W
P25293	sce:YKR048C
P41833	sce:YGL192W
P36000	sce:YKL135C
Q04431	sce:YDR532C
P38236	sce:YBR057C
Q04396	sce:YDR503C
Q04087	sce:YDR439W
P38203	sce:YBL026W
P53905	sce:YNL147W
Q06217	sce:YLR275W
P32601	sce:YPR017C
Q03503	sce:YPR051W
Q06667	sce:YDR315C
P39939	sce:YER131W
P39938	sce:YGL189C
P00931	sce:YGL026C
P53755	sce:YNR069C
P35193	sce:YOL082W
P34234	sce:YKL183W
P33418	sce:YKL205W
P39517	sce:YDL160C
P0C0X0	sce:YLR264W
P53237	sce:YGR057C
Q02197	sce:YEL053C
P47167	sce:YJR135C
P32570	sce:YBR253W
Q08278	sce:YOL135C
P16523	sce:YNL210W
Q99278	sce:YMR112C
P39014	sce:YIL046W
P38346	sce:YBR270C
P43563	sce:YFL034C-B
Q99316	sce:YOL088C
P14741	sce:YKR026C
P32497	sce:YMR309C
P33420	sce:YPL174C
P32832	sce:YMR091C
Q08685	sce:YOR250C
P39081	sce:YDR228C
Q12527	sce:YPR049C
P32473	sce:YBR221C
P27796	sce:YIL160C
P35190	sce:YGL215W
P17157	sce:YPL031C
Q12477	sce:YDL179W
